name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,state,distance
Centreville,US,AL,72229.0,KCKL,32.9,-87.25,140.0,America/Chicago,1984-01-01,2005-10-07,1974-12-01,2020-12-16,1974-01-01,2014-01-01,AL,41.58164194812554
Minchumina Airport,US,AK,70246.0,PAMH,63.8667,-152.3,208.0,America/Juneau,1973-01-01,2023-11-04,1945-01-01,2023-08-31,1945-01-01,2022-01-01,AK,22.46434122106739
Prescott / Tutt,US,AZ,,KPRC,34.6544,-112.4196,1537.0,America/Phoenix,1991-01-01,2023-11-04,1991-01-01,2022-04-24,1991-01-01,2021-01-01,AZ,81.43892634856778
"North Little Rock, North Little Rock Airport",US,AR,72340.0,KLZK,34.8333,-92.25,165.0,America/Chicago,2006-01-01,2021-10-29,1976-11-01,2023-10-31,1951-01-01,2022-01-01,AR,18.815987276036815
Fresno Air Terminal,US,CA,72389.0,KFAT,36.7833,-119.7167,101.0,America/Los_Angeles,1941-12-04,2023-11-04,1941-12-04,2023-10-31,1942-01-01,2022-01-01,CA,49.678264504383414
Air Force Academy,US,CO,74531.0,KAFF,38.9667,-104.8167,2003.0,America/Denver,1967-11-27,2023-11-04,1970-08-01,2022-04-25,2008-01-01,2022-01-01,CO,63.28466032326934
Hartford / Colonial Mobile Home Park,US,CT,,KHFD,41.7367,-72.6494,6.0,America/New_York,1974-01-01,2023-11-04,1979-06-22,2022-04-24,2005-01-01,2022-01-01,CT,14.310990791534369
Millville / Farmingdale,US,NJ,,KMIV,39.3678,-75.0722,26.0,America/New_York,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1999-01-01,2021-01-01,DE,56.215878424864016
Tampa International Airport,US,FL,72211.0,KTPA,27.9667,-82.5333,8.0,America/New_York,1940-08-01,2023-11-04,1939-02-01,2023-10-31,1939-01-01,2022-01-01,FL,74.26361048333683
Warner Robins,US,GA,,KWRB,32.6401,-83.5918,90.0,America/New_York,1942-08-07,2023-11-04,1942-08-08,2022-04-24,1942-01-01,2021-01-01,GA,13.971021403450328
Kula Expmt Stn / Waiakoa,US,HI,91198.0,,20.7667,-156.3333,928.0,Pacific/Honolulu,,,1979-04-01,2023-10-27,1979-01-01,2020-01-01,HI,52.87402553831178
Boise Air Terminal,US,ID,72681.0,KBOI,43.5667,-116.2333,871.0,America/Boise,1931-01-01,2023-11-04,1931-01-01,2023-10-31,1931-01-01,2022-01-01,ID,156.27655759415177
Springfield / Bando,US,IL,72439.0,KSPI,39.8442,-89.6781,182.0,America/Chicago,1973-01-01,2023-11-04,1901-01-01,2023-10-31,1901-01-01,2022-01-01,IL,46.5613442396376
Indianapolis International  Airport,US,IN,72438.0,KIND,39.7167,-86.1167,243.0,America/Indiana/Indianapolis,1942-10-06,2023-11-04,1942-10-06,2023-11-01,1942-01-01,2022-01-01,IN,24.248145363418335
Des Moines International,US,IA,72546.0,KDSM,41.5333,-93.6531,292.0,America/Chicago,1973-01-01,2023-11-04,1945-07-01,2023-10-31,1945-01-01,2022-01-01,IA,61.63658709950286
"Smokey Hill Gunnery Range, Ks.",US,KS,74545.0,KSLN,38.65,-97.8,0.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-25,1975-01-01,2022-01-01,KS,53.366378599950714
Fort Knox,US,KY,72424.0,KFTK,37.9,-85.9667,230.0,America/New_York,1945-03-01,2023-11-04,1945-03-01,2022-04-25,1945-01-01,2022-01-01,KY,71.18439251895873
Alexandria / Green Gables,US,LA,,KESF,31.3949,-92.2958,34.0,America/Chicago,1941-07-01,2023-11-04,1941-09-11,2022-04-24,1943-01-01,2021-01-01,LA,46.06766090521888
Greenville,US,ME,72619.0,KGNR,45.463,-69.5516,427.0,America/New_York,2006-01-01,2023-11-04,1920-01-01,2023-10-31,1920-01-01,2021-01-01,ME,26.249570540532567
Fort Meade / Ft Meade / Portland Station (Historical),US,MD,,KFME,39.0854,-76.7594,46.0,America/New_York,1959-11-13,2023-11-04,1959-11-14,2022-04-24,1959-01-01,2022-01-01,MD,4.3383775760716485
Worcester / West Tatnuck,US,MA,72510.0,KORH,42.2673,-71.8757,308.0,America/New_York,1973-01-01,2023-11-04,1948-06-01,2023-10-31,1948-01-01,2022-01-01,MA,5.61210661645564
Cadillac / Cadillac Leisure Mobile Home Community,US,MI,,KCAD,44.2753,-85.4189,398.0,America/Detroit,1990-07-24,2023-11-04,1993-12-02,2022-04-24,2005-01-01,2022-01-01,MI,7.969438282355388
Saint Cloud / St Cloud / Cable,US,MN,72655.0,KSTC,45.5466,-94.0599,314.0,America/Chicago,1973-01-01,2023-11-04,1904-09-01,2023-10-31,1904-01-01,2022-01-01,MN,83.80672121540081
Jackson Airport,US,MS,72235.0,KJAN,32.3167,-90.0667,105.0,America/Chicago,1942-09-01,2023-11-04,1942-09-01,2023-10-31,1942-01-01,2022-01-01,MS,59.80430389895361
Columbia Regional Airport,US,MO,72445.0,KCOU,38.8167,-92.2167,271.0,America/Chicago,1973-01-01,2023-11-04,1969-11-01,2023-10-30,1965-01-01,2022-01-01,MO,55.29277877202404
Lewistown / Lewlistown [Misspelling] / Lewistown Heights,US,MT,,KLWT,47.0493,-109.4667,1271.0,America/Denver,1942-04-01,2023-11-04,1942-04-02,2022-04-24,1942-01-01,2022-01-01,MT,12.627664293365406
North Platte Regional Airport,US,NE,72562.0,KLBF,41.1167,-100.6667,847.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,NE,86.54096947645033
Eureka / Eunice Place,US,NV,72477.0,K05U,39.6042,-116.0051,1816.0,America/Los_Angeles,2017-01-21,2023-11-04,1997-08-13,2023-10-31,1997-01-01,2022-01-01,NV,61.85194138105073
"Concord, Concord Municipal Airport",US,NH,72605.0,KCON,43.1833,-71.5,105.0,America/New_York,1973-01-01,2023-11-04,1939-04-01,2023-10-31,1939-01-01,2022-01-01,NH,55.67261177193225
Trenton / Altura,US,NJ,,KTTN,40.2767,-74.8135,65.0,America/New_York,1973-01-01,2023-11-04,1975-07-10,2022-04-24,2005-01-01,2021-01-01,NJ,15.300305449053255
Albuquerque International  Airport,US,NM,72365.0,KABQ,35.0333,-106.6,1631.0,America/Denver,1941-07-01,2023-11-04,1931-03-01,2023-10-31,1931-01-01,2022-01-01,NM,82.66015243864642
"Verona, Ny. Af",US,NY,74480.0,KRME,43.1333,-75.6,0.0,America/New_York,1942-07-01,2023-11-04,1942-07-02,2022-04-25,1942-01-01,2022-01-01,NY,20.82707521188067
Pope Air Force Base,US,NC,72303.0,KPOB,35.1667,-79.0333,61.0,America/New_York,1937-07-03,2023-11-04,1937-07-08,2022-04-25,1937-01-01,2022-01-01,NC,53.886856888384955
Bismarck Municipal Airport,US,ND,72764.0,KBIS,46.7833,-100.75,511.0,America/Chicago,1936-07-01,2023-11-04,1936-07-01,2023-10-31,1936-01-01,2022-01-01,ND,77.19824383053476
Columbus / Lockbourne,US,OH,,KLCK,39.8138,-82.9278,227.0,America/New_York,1942-08-01,2023-11-04,1942-08-19,2022-04-24,1942-01-01,2021-01-01,OH,53.754307394204226
Tinker Air Force Base,US,OK,72354.0,KTIK,35.4167,-97.3833,394.0,America/Chicago,1942-12-14,2023-11-04,1942-12-15,2022-04-25,1943-01-01,2021-01-01,OK,21.624030498469203
Robert Field Arpt / Redmond,US,OR,72692.0,,44.2539,-121.15,937.0,America/Los_Angeles,,,1948-05-01,2023-10-30,1948-01-01,2022-01-01,OR,59.17207781824193
Philipsburg / Beaver Mills,US,PA,72512.0,KPSB,40.8844,-78.0873,594.0,America/New_York,1985-05-31,1986-08-27,1985-06-08,2023-11-01,2002-01-01,2022-01-01,PA,24.19732707071865
Providence Green State Airport,US,RI,72507.0,KPVD,41.7333,-71.4333,17.0,America/New_York,1942-08-01,2023-11-04,1942-08-01,2023-10-31,1942-01-01,2022-01-01,RI,12.016975304804715
Columbia Metropolitan Airport,US,SC,72310.0,KCAE,33.95,-81.1167,72.0,America/New_York,1942-04-24,2023-11-04,1942-04-24,2023-11-01,1942-01-01,2022-01-01,SC,20.654768753431014
Pierre / Alto,US,SD,,KPIR,44.3827,-100.286,532.0,America/Chicago,1944-03-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2020-01-01,SD,8.33078222168895
Nashville Airport,US,TN,72327.0,KBNA,36.1167,-86.6833,183.0,America/Chicago,1951-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,TN,41.52191790019827
Abilene Regional Airport,US,TX,72266.0,KABI,32.4167,-99.6833,546.0,America/Chicago,1946-08-01,2023-11-04,1946-08-01,2023-10-31,1946-01-01,2022-01-01,TX,109.78165141820239
Delta,US,UT,72479.0,KDTA,39.3806,-112.5077,1451.0,America/Denver,2014-08-20,2023-11-04,1938-06-01,2023-09-29,1938-01-01,2022-01-01,UT,72.4938164902571
Montpelier / Berlin Corners,US,VT,,KMPV,44.2035,-72.5623,355.0,America/New_York,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1999-01-01,2022-01-01,VT,17.114141271370404
Lynchburg Regional Airport,US,VA,72410.0,KLYH,37.3167,-79.2,286.0,America/New_York,1973-01-01,2023-11-04,1944-08-01,2023-10-31,1944-01-01,2022-01-01,VA,38.129864349506725
Ellensburg,US,WA,,KELN,47.033,-120.5307,538.0,America/Los_Angeles,1988-01-06,2023-11-04,1998-10-07,2022-04-24,2005-01-01,2021-01-01,WA,39.38213516274711
Jennings Randolph Field,US,WV,72417.0,KEKN,38.8833,-79.85,606.0,America/New_York,1973-01-01,2023-11-04,1926-01-01,2023-10-31,1926-01-01,2022-01-01,WV,72.21490642634092
Wausau / Wausau Junction,US,WI,72646.0,KAUW,44.9263,-89.627,366.0,America/Chicago,1990-03-14,2023-11-04,1941-12-01,2023-10-31,1941-01-01,2022-01-01,WI,44.3545074665202
Natrona County International  Airport,US,WY,72569.0,KCPR,42.9,-106.4667,1630.0,America/Denver,1940-01-01,2023-11-04,1940-01-01,2023-10-31,1940-01-01,2022-01-01,WY,88.9078981066369
